,date,band1,band2,band3,band4,band5,band6,band7,measured_TP
53,2005-06-19,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.248
54,2005-07-13,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.07
55,2005-08-14,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.096
56,2005-09-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.06
57,2005-10-17,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.058
58,2005-11-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.082
59,2005-12-12,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.106
60,2006-01-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.241
61,2006-02-19,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.177
62,2006-03-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.273
63,2006-04-16,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.269
64,2006-05-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.266
65,2006-06-19,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.319
66,2006-07-13,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.238
67,2006-08-14,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.294
68,2006-09-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.332
69,2006-10-17,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.253
70,2006-11-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.287
71,2006-12-12,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.222
72,2001-01-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.052
73,2001-02-19,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.059
74,2001-03-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.057
75,2001-04-16,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.143
76,2001-05-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.086
77,2001-06-11,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.131
78,2001-07-13,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.182
79,2001-08-14,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.139
80,2001-09-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.176
81,2001-10-17,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.102
82,2001-11-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.103
83,2001-12-12,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.201
84,2002-01-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.108
85,2002-02-19,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.103
86,2002-03-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.146
87,2002-04-16,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.135
88,2002-05-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.128
89,2002-06-19,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.2
90,2002-07-13,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.097
91,2002-08-14,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.186
92,2002-09-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.197
93,2002-10-17,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.385
94,2002-11-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.125
95,2002-12-12,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.118
96,2003-01-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.067
97,2003-02-19,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.107
98,2003-03-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.087
99,2003-04-16,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.073
100,2003-05-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.08
101,2003-06-19,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.185
102,2003-07-13,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.159
103,2003-08-14,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.212
104,2003-09-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.154
105,2003-10-17,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.118
106,2003-11-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.123
107,2003-12-12,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.118
108,2004-01-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.142
109,2004-02-19,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.102
110,2004-03-14,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.142
111,2004-04-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.056
112,2004-05-17,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.106
113,2004-06-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.144
114,2004-07-12,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.167
115,2004-08-13,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.463
116,2004-09-14,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.156
117,2004-10-16,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.122
118,2004-11-17,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.104
119,2004-12-11,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.077
120,2005-01-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.097
121,2005-02-19,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.139
122,2005-03-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.105
123,2005-04-16,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.156
124,2005-05-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.165
125,2005-06-19,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.147
126,2005-07-13,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.216
127,2005-08-14,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.165
128,2005-09-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.174
129,2005-10-17,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.098
130,2005-11-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.129
131,2005-12-12,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.104
132,2006-01-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.136
133,2006-02-19,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.131
134,2006-03-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.125
135,2006-04-16,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.134
136,2006-05-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.186
137,2006-06-19,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.187
138,2006-07-13,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.36
139,2006-08-14,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.471
140,2006-09-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.172
141,2006-10-17,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.141
142,2006-11-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.142
143,2006-12-12,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.108
144,2001-01-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.056
145,2001-02-19,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.047
146,2001-03-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.058
147,2001-04-16,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.062
148,2001-05-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.075
149,2001-06-11,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.079
150,2001-07-13,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.102
151,2001-08-14,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.119
152,2001-09-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.12
153,2001-10-17,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.103
154,2001-11-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.099
155,2001-12-12,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.073
156,2002-01-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.063
157,2002-02-19,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.032
158,2002-03-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.039
159,2002-04-16,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.085
160,2002-05-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.088
161,2002-06-19,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.141
162,2002-07-13,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.081
163,2002-08-14,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.104
164,2002-09-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.128
165,2002-10-17,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,2.133
166,2002-11-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.11
167,2002-12-12,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.054
168,2003-01-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.053
169,2003-02-19,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.039
170,2003-03-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.095
171,2003-04-16,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.077
172,2003-05-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.066
173,2003-06-19,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.137
174,2003-07-13,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.116
175,2003-08-14,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.172
176,2003-09-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.131
177,2003-10-17,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.119
178,2003-11-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.077
179,2003-12-12,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.07
180,2004-01-18,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.088
181,2004-02-19,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.111
182,2004-03-14,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.12
183,2004-04-15,0.092048,0.050052,0.048396,0.08822,0.01316,0.009640000000000001,0.005224,0.059
